No. Reads;root;organism;Domain;Group;Phylum;Class;;;;;;;;;;;;;;;
730;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
727;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
725;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
708;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
705;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
691;root;cellular organisms;Eukaryota;Stramenopiles;Bacillariophyta;Coscinodiscophyceae;;;;;;;;;;;;;;;
691;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;;;;;;;;;;;;;;;
667;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
666;root;cellular organisms;Eukaryota;Amoebozoa;Archamoebae;Entamoebidae;;;;;;;;;;;;;;;
663;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;;;;;;;;;;;;;;;
628;root;cellular organisms;Eukaryota;Apusozoa;Apusomonadidae;Thecamonas;;;;;;;;;;;;;;;
620;root;cellular organisms;Eukaryota;Alveolata;Ciliophora;Postciliodesmatophora;;;;;;;;;;;;;;;
614;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;;;;;;;;;;;;;;;
611;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;;;;;;;;;;;;;;;
587;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Blastocladiomycota;;;;;;;;;;;;;;;
585;root;cellular organisms;Eukaryota;Rhizaria;Cercozoa;Imbricatea;;;;;;;;;;;;;;;
585;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;;;;;;;;;;;
581;root;cellular organisms;Eukaryota;Amoebozoa;Mycetozoa;Dictyosteliida;;;;;;;;;;;;;;;
579;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
570;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
564;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
552;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Betaretrovirus;;;;;;;;;;;;;;;
543;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Betaretrovirus;;;;;;;;;;;;;;;
542;root;cellular organisms;Eukaryota;Alveolata;Ciliophora;Intramacronucleata;;;;;;;;;;;;;;;
536;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
532;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Coriobacteriia;;;;;;;;;;;;;;;
527;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;;;;;;;;;;;
524;root;cellular organisms;Eukaryota;Stramenopiles;Pelagophyceae;Pelagomonadales;;;;;;;;;;;;;;;
523;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;;;;;;;;;;;;;;;
520;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;;;;;;;;;;;
504;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Cryptomycota;;;;;;;;;;;;;;;
496;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Neocallimastigomycota;;;;;;;;;;;;;;;
488;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;;;;;;;;;;;;;;;
486;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;;;;;;;;;;;;;;;
482;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
480;root;cellular organisms;Eukaryota;Alveolata;Ciliophora;Intramacronucleata;;;;;;;;;;;;;;;
479;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Betaretrovirus;;;;;;;;;;;;;;;
471;root;cellular organisms;Eukaryota;Heterolobosea;Schizopyrenida;Vahlkampfiidae;;;;;;;;;;;;;;;
470;root;cellular organisms;Eukaryota;Opisthokonta;Choanoflagellida;Craspedida;;;;;;;;;;;;;;;
456;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
450;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;;;;;;;;;;;;;;;
442;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
436;root;Viruses;dsDNA viruses, no RNA stage;Poxviridae;Chordopoxvirinae;unclassified Chordopoxvirinae;;;;;;;;;;;;;;;
434;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;;;;;;;;;;;
433;root;cellular organisms;Eukaryota;Amoebozoa;Mycetozoa;Dictyosteliida;;;;;;;;;;;;;;;
431;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
420;root;Viruses;dsDNA viruses, no RNA stage;Poxviridae;Chordopoxvirinae;Orthopoxvirus;;;;;;;;;;;;;;;
419;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
419;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
417;root;cellular organisms;Eukaryota;Amoebozoa;Mycetozoa;Dictyosteliida;;;;;;;;;;;;;;;
415;root;cellular organisms;Eukaryota;Alveolata;Chromerida;Vitrella;;;;;;;;;;;;;;;
415;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;;;;;;;;;;;;;;;
409;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Betaretrovirus;;;;;;;;;;;;;;;
404;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;;;;;;;;;;;
388;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Blastocladiomycota;;;;;;;;;;;;;;;
380;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Neocallimastigomycota;;;;;;;;;;;;;;;
377;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;;;;;;;;;;;;;;;
376;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
373;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;;;;;;;;;;;;;;;
368;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
367;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;;;;;;;;;;;;;;;
366;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;;;;;;;;;;;;;;;
363;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
362;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
360;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;unclassified Kinetoplastida;;;;;;;;;;;;;;;
359;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;;;;;;;;;;;
357;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
357;root;Viruses;Retro-transcribing viruses;Retroviridae;unclassified Retroviridae;Human endogenous retroviruses;;;;;;;;;;;;;;;
351;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;;;;;;;;;;;
347;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
346;root;cellular organisms;Eukaryota;Haptophyceae;Prymnesiales;Chrysochromulinaceae;;;;;;;;;;Magnaporthe;Magnaporthe oryzae;;;;
344;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
344;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;;;;;;;;;;;
340;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;;;;;;;;;;;
334;root;cellular organisms;Eukaryota;Amoebozoa;Mycetozoa;Dictyosteliida;;;;;;;;;;;;;;;
334;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;Trichophyton verrucosum;Trichophyton verrucosum HKI 0517;;;;
332;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
332;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
325;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;;;;;;;;;;;
323;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
319;root;cellular organisms;Eukaryota;Stramenopiles;PX clade;Phaeophyceae;;;;;;;;;;;;;;;
318;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;;;;;;;;;;;;;
318;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;;;;;;;;;;;
318;root;Viruses;Retro-transcribing viruses;Retroviridae;unclassified Retroviridae;Intracisternal A-particles;;;;;;;;;;;;;;;
315;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
313;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
312;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;;;;;;;;;;;
312;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;;;;;;;;;;;
310;root;cellular organisms;Eukaryota;Alveolata;Ciliophora;Intramacronucleata;;;;;;;;;;;;;;;
304;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
303;root;cellular organisms;Eukaryota;Parabasalia;Tritrichomonadida;Tritrichomonadidae;;;;;;;;;;;;;;;
303;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;;;;;;;;;;;;;;;
302;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;Cladophialophora carrionii;;;;;
300;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
297;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;;;;;;;;;;;
297;root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;;;;;;;;;;;;;;;
297;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
296;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;;;;;;;;;;;;;;;
296;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
289;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Conoidasida;;;;;;;;;;;;;;;
289;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;;;;;;;;;;;;;;;
287;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
284;root;cellular organisms;Eukaryota;Stramenopiles;Oomycetes;Saprolegniales;;;;;;;;;;;;;;;
284;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;;;;;;;;;;;
281;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;;;;;;;;;;;;;;;
280;root;cellular organisms;Eukaryota;Alveolata;Ciliophora;Intramacronucleata;;;;;;;;;;;;;;;
277;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
277;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
276;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Zoopagomycota;;;;;;;;;;;;;;;
275;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;;;;;;;;;;;
275;root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;;;;;;;;;;;;;;;
272;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;;;;;;;;;;;
272;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
270;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;;;;;;;;;;;;;;;
269;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;;;;;;;;;;;
267;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
267;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
265;root;cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;;;;;;;;;;;;;;;
263;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Zoopagomycota;;;;;;;;;;;;;;;
263;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
263;root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;;;;;;;;;;;;;;;
260;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;;;;;;;;;;;
260;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
258;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;;;;;;;;;;;
257;root;cellular organisms;Eukaryota;Amoebozoa;Mycetozoa;Dictyosteliida;;;;;;;;;;;;;;;
257;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;;;;;;;;;;;
256;root;cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Cyanidiales;;;;;;;;;;Botrytis cinerea;Botrytis cinerea B05.10;;;;
254;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
254;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
252;root;cellular organisms;Bacteria;Terrabacteria group;Deinococcus-Thermus;Deinococci;;;;;;;;;;;;;;;
