No. Reads;root;organism;Domain;Group;Phylum;Class;;;;;
114;root;cellular organisms;Eukaryota;Amoebozoa;Mycetozoa;Dictyosteliida;;;;;
114;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;;;;;
114;root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;;;;;
113;root;cellular organisms;Eukaryota;Haptophyceae;Prymnesiales;Chrysochromulinaceae;;;;;
113;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
110;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
109;root;cellular organisms;Eukaryota;Alveolata;Ciliophora;Intramacronucleata;;;;;
109;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
107;root;cellular organisms;Eukaryota;Stramenopiles;Pelagophyceae;Pelagomonadales;;;;;
107;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
104;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;;;;;;
104;root;cellular organisms;Eukaryota;Amoebozoa;Mycetozoa;Dictyosteliida;;;;;
104;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
102;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;;;;;
102;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;
102;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
102;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
102;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
101;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
101;root;cellular organisms;Eukaryota;Alveolata;Ciliophora;Intramacronucleata;;;;;
100;root;cellular organisms;Eukaryota;Amoebozoa;Mycetozoa;Dictyosteliida;;;;;
100;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
99;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
99;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
99;root;cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;;;;;
97;root;cellular organisms;Eukaryota;Alveolata;Ciliophora;Intramacronucleata;;;;;
97;root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;;;;;
97;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;;;;;
97;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
96;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
95;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
95;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
94;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
93;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;;;
92;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
91;root;cellular organisms;Eukaryota;Stramenopiles;Oomycetes;Albuginales;;;;;
91;root;cellular organisms;Eukaryota;Alveolata;;;;;;;
90;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;;;;;
90;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
90;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Blastocladiomycota;;;;;
90;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
90;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;;;;;
90;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;;;;;
89;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;;;;;
89;root;cellular organisms;Eukaryota;Opisthokonta;Choanoflagellida;Craspedida;;;;;
88;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
88;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
87;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;
86;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
86;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
85;root;cellular organisms;Eukaryota;Parabasalia;Tritrichomonadida;Tritrichomonadidae;;;;;
85;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
84;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;;;;;
84;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;;;;;
83;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
83;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
82;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
82;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
81;root;cellular organisms;Eukaryota;Stramenopiles;Eustigmatophyceae;Eustigmatales;;;;;
81;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Zoopagomycota;;;;;
81;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
81;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
79;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
78;root;cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Cyanidiales;;;;;
78;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
78;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
78;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
77;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
76;root;cellular organisms;Eukaryota;Alveolata;Ciliophora;Intramacronucleata;;;;;
74;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
74;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
73;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
73;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
73;root;cellular organisms;Eukaryota;Opisthokonta;;;;;;;
73;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
73;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
73;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;;;;;
72;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Conoidasida;;;;;
72;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;
71;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Zoopagomycota;;;;;
71;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
71;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
70;root;cellular organisms;Eukaryota;Stramenopiles;Blastocystis;Blastocystis sp. subtypes;;;;;
70;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;
70;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
70;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
70;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
69;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Zoopagomycota;;;;;
69;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
68;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;;;;;
68;root;cellular organisms;Eukaryota;Stramenopiles;Oomycetes;Saprolegniales;;;;;
68;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;
68;root;cellular organisms;Eukaryota;Amoebozoa;Mycetozoa;Dictyosteliida;;;;;
68;root;cellular organisms;Eukaryota;Alveolata;Ciliophora;Intramacronucleata;;;;;
68;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
67;root;cellular organisms;Eukaryota;Stramenopiles;Blastocystis;Blastocystis sp. subtypes;;;;;
67;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
67;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;
67;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;
66;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Fusarium oxysporum species complex;Fusarium oxysporum;Fusarium oxysporum f. cubense;Fusarium oxysporum f. sp. cubense race 1;
66;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
66;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
65;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
65;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
65;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
64;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;;;
63;root;cellular organisms;Eukaryota;Stramenopiles;Oomycetes;Saprolegniales;;;;;
63;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
63;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;;;;;
63;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;;;;;
62;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Conoidasida;;;;;
61;root;cellular organisms;Eukaryota;Stramenopiles;Oomycetes;Peronosporales;;;;;
61;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;
60;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Neocallimastigomycota;;;;;
60;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;;;;;
59;root;cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Bangiales;;;;;
59;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Bodonidae;;;;;
59;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Conoidasida;;;;;
58;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
58;root;cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Brachyspirales;;;;;
57;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
57;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
57;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
57;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;;;;;
56;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
56;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
56;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Drechmeria coniospora;;;;
56;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
55;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;;;;;
55;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
55;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
55;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
55;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
54;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;;;;;
54;root;cellular organisms;Eukaryota;Stramenopiles;Blastocystis;Blastocystis hominis;;;;;
53;root;cellular organisms;Eukaryota;Stramenopiles;Oomycetes;Saprolegniales;;;;;
53;root;cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Cyanidiales;;;;;
53;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
53;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
52;root;cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Hildenbrandiales;;;;;
52;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
52;root;cellular organisms;Eukaryota;Amoebozoa;Mycetozoa;Dictyosteliida;;;;;
52;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
51;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Bipolaris;Bipolaris sorokiniana;Bipolaris sorokiniana ND90Pr;;
51;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
51;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
50;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
50;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
50;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;;;;;
50;root;cellular organisms;Bacteria;Nitrospinae/Tectomicrobia group;Candidatus Tectomicrobia;Candidatus Entotheonella;;;;;
49;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;
49;root;cellular organisms;Eukaryota;Alveolata;Ciliophora;Intramacronucleata;;;;;
49;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
