No. Reads;root;organism;Domain;Group;Phylum;Class;;;;;;;;;;;;;;;
667;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;;;;;;;;;;;;;;;
665;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Conoidasida;;;;;;;;;;;;;;;
654;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
646;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
645;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
637;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;;;;;;;;;;;
624;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Betaretrovirus;;;;;;;;;;;;;;;
619;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;;;;;;;;;;;
617;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;;;;;;;;;;;
617;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
604;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;;;;;;;;;;;;;;;
597;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
596;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
589;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
587;root;cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;;;;;;;;;;;;;;;
586;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Betaretrovirus;;;;;;;;;;;;;;;
584;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
579;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
577;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
572;root;cellular organisms;Eukaryota;Amoebozoa;Discosea;Longamoebia;;;;;;;;;;;;;;;
562;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Hypocreales;Ophiocordycipitaceae;Drechmeria;Drechmeria coniospora;;;;
551;root;cellular organisms;Bacteria;Nitrospinae/Tectomicrobia group;Candidatus Tectomicrobia;Candidatus Entotheonella;;;;;;;;;;;;;;;
545;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
533;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
513;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;;;;;;;;;;;;;;;
505;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
503;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
500;root;cellular organisms;Eukaryota;Rhizaria;Foraminifera;Monothalamids;;;;;;;;;;;;;;;
490;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;;;;;;;;;;;;;;;
481;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;;;;;;;;;;;;;;;
480;root;cellular organisms;Eukaryota;Haptophyceae;Isochrysidales;Noelaerhabdaceae;;;;;;;;;;;;;;;
480;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
473;root;cellular organisms;Bacteria;Terrabacteria group;Tenericutes;Mollicutes;;;;;;;;;;;;;;;
470;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
469;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
460;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
459;root;cellular organisms;Eukaryota;Stramenopiles;Oomycetes;Peronosporales;;;;;;;;;;;;;;;
459;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
458;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
454;root;cellular organisms;Eukaryota;Rhizaria;Cercozoa;Imbricatea;;;;;;;;;;;;;;;
449;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
435;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;;;;;;;;;;;
433;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
432;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
417;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Neocallimastigomycota;;;;;;;;;;;;;;;
413;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;;;;;;;;;;;;;;;
413;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
412;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
409;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
405;root;cellular organisms;Eukaryota;Stramenopiles;Bacillariophyta;Coscinodiscophyceae;;;;;;;;;;;;;;;
402;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
400;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;;;;;;;;;;;
390;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
381;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Calocera viscosa TUFC12733;;;;;;;
381;root;cellular organisms;Eukaryota;Apusozoa;Apusomonadidae;Thecamonas;;;;;;;;;;;;;;;
379;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
369;root;cellular organisms;Eukaryota;Alveolata;Ciliophora;Postciliodesmatophora;;;;;;;;;;;;;;;
366;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;;;;;;;;;;;
364;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Betaretrovirus;;;;;;;;;;;;;;;
362;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
360;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
357;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;;;;;;;;;;;;;;;
356;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Blastocladiomycota;;;;;;;;;;;;;;;
352;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
350;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;;;;;;;;;;;
349;root;cellular organisms;Eukaryota;Amoebozoa;Mycetozoa;Dictyosteliida;;;;;;;;;;;;;;;
344;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
340;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Neocallimastigomycota;;;;;;;;;;;;;;;
335;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
328;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Betaretrovirus;;;;;;;;;;;;;;;
327;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
325;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Cryptomycota;;;;;;;;;;;;;;;
325;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Coriobacteriia;;;;;;;;;;;;;;;
321;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
314;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;;;;;;;;;;;
312;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;;;;;;;;;;;;;;;
312;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Betaretrovirus;;;;;;;;;;;;;;;
311;root;cellular organisms;Eukaryota;Amoebozoa;Archamoebae;Entamoebidae;;;;;;;;;;;;;;;
310;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
309;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
303;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;;;;;;;;;;;;;;;
300;root;cellular organisms;Eukaryota;Heterolobosea;Schizopyrenida;Vahlkampfiidae;;;;;;;;;;;;;;;
299;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
295;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;;;;;;;;;;;;;;;
295;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;;;;;;;;;;;
292;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
289;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;;;;;;;;;;;
288;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
288;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
286;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
284;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
282;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;;;;;;;;;;;
281;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
278;root;cellular organisms;Eukaryota;Alveolata;Ciliophora;Intramacronucleata;;;;;;;;;;;;;;;
276;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;;;;;;;;;;;;;
273;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
273;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
270;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Exidia glandulosa;Exidia glandulosa HHB12029;;;;;;
269;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
268;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;;;;;;;;;;;;;;;
260;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
259;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
259;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Betaretrovirus;;;;;;;;;;;;;;;
258;root;cellular organisms;Eukaryota;Alveolata;Chromerida;Vitrella;;;;;;;;;;;;;;;
255;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
253;root;cellular organisms;Bacteria;unclassified Bacteria;unclassified Bacteria (miscellaneous);bacteria symbiont BFo2 of Frankliniella occidentalis;;;;;;;;;;;;;;;
251;root;cellular organisms;Eukaryota;Opisthokonta;Choanoflagellida;Craspedida;;;;;;;;;;;;;;;
250;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
249;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales;;;;;;;;;;;;;;;
248;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
247;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;;;;;;;;;;;;;;;
246;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
242;root;cellular organisms;Eukaryota;Stramenopiles;Pelagophyceae;Pelagomonadales;;;;;;;;;;;;;;;
242;root;cellular organisms;Eukaryota;Amoebozoa;Mycetozoa;Dictyosteliida;;;;;;;;;;;;;;;
242;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
242;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
242;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
238;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
234;root;cellular organisms;Eukaryota;Amoebozoa;Mycetozoa;Dictyosteliida;;;;;;;;;;;;;;;
233;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;;;;;;;;;;;;;;;
232;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;;;;;;;;;;;
232;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
231;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;;;;;;;;;;;;;;;
229;root;cellular organisms;Eukaryota;Stramenopiles;Oomycetes;Peronosporales;;;;;;;;;;;;;;;
227;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;unclassified Kinetoplastida;;;;;;;;;;;;;;;
227;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;;;;;;;;;;;
227;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
226;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;;;;;;;;;;;
225;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;;;;;;;;;;;
223;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Puccinia striiformis f. sp. tritici;Puccinia striiformis f. sp. tritici PST-78;;;;;;
223;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Blastocladiomycota;;;;;;;;;;;;;;;
223;root;Viruses;dsDNA viruses, no RNA stage;Poxviridae;Chordopoxvirinae;Orthopoxvirus;;;;;;;;;;;;;;;
222;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;;;;;;;;;;;;;;;
221;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
220;root;cellular organisms;Eukaryota;Haptophyceae;Prymnesiales;Chrysochromulinaceae;;;;;;;;;;;;;;;
217;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
214;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;;;;;;;;;;;;;
210;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Arthrodermataceae;Trichophyton;Trichophyton verrucosum;Trichophyton verrucosum HKI 0517;;;;
208;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
208;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
208;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
207;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;;;;;;;;;;;
207;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
205;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
201;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;;;;;;;;;;;
201;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
200;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;;;;;;;;;;;;;;;
